colour,layout,low_profile,backlight,switch,top3_kb1,top3_kb2,top3_kb3,dream_keyboard,usecase,using_keyboard
Blue,"TKL, 87%-88% (87-88 key)",Non low-profile,Yes,"Linear - Black - Fast, Quite, Heavy","Steelseries apex m260, Phantom Tecware TKL & Ducky One 2 Mini",,,Satisfaction 75,Home,Phantom Tecware TKL with linear switches
Black,"TKL, 87%-88% (87-88 key)",Non low-profile,No,Clicky - Blue,"Hhkb, keeblade, kbdfans tofu",,,Satisfaction 75,Home,Hhkb pro 2
Clean color design,"Super Compact, 60%",Non low-profile,Yes,"Linear - Black - Fast, Quite, Heavy","Tofu60, Hexgear Gemini Dusk, custom keyboard",,,a premium custom build keyboard,E-sport,"Hexgear gemini dusk, Tofu60"
Black ,"Full Size, 100% (more than 104 key)",Non low-profile,Yes,Optical Switch,,,,,E-sport,Razor
White,"Full Size, 100% (more than 104 key)",Non low-profile,No,,VZTEC,,,,Office,VZTEC
Purple,65%,Non low-profile,Yes,Tactile,"Think 6.5, Mark 65, Titan 65",,,Ai03 Vega,Home,GK61X
Red,"TKL, 87%-88% (87-88 key)",Non low-profile,No,"Linear - Red - Fast, Quite, Light",,,,KBD75 with lubed NK Creams ,Home,AKKO 3084 
Blue,65%,Non low-profile,Yes,Clicky - Blue,"Kemove Shadow 61
Ducky
Filco",,,Tex shinobi,Home,Kemove Shadow61
black,"Super Compact, 60%",Low profile (slim),Yes,"Linear - Black - Fast, Quite, Heavy","gk61s, anne pro 2",,,GK73,Home,gk61s
Black,"Super Compact, 60%",Non low-profile,Yes,Tactile,"Ducky One 2 mini,Hhkb,Dz60",,,Tofu Dz60,E-sport,Gk61
Yellow,"Super Compact, 60%",Non low-profile,Yes,Tactile,"Topre HHKB2, Vortex Poker 2, Custom.",,,Rama Custom 60%,Home,KBDFan Tofu 60% T2 switches.
Blue,"TKL, 87%-88% (87-88 key)",Non low-profile,No,Tactile,"Ducky one 2 mini, IBM Model M, HHKB",,,Keycult No.1/65,Home,Logitech G413 Carbon
Orange,"Super Compact, 60%",Non low-profile,No,"Linear - Black - Fast, Quite, Heavy","Discipline 65, IBM Model M, and Tofu65",,,Cyberboard,Both Home and Office,Discipline 65 and Ducky One 2 Mini
Lilac pink,"TKL, 87%-88% (87-88 key)",Non low-profile,Yes,"Linear - Black - Fast, Quite, Heavy",Tecware Phantom Elite 87. Wormier K66. Epomaker GK64,,,SINGA V3,Everywhere,Tecware Phantom Elite 87
